0,0,1,1,2,0,0,5,0,0,1,1,0,1,1,3,175,15,0,18,137,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,26,0,0,0,116,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vT0DddhbZZcvddziY4Hll9mjgRZytsElS1Zi6ZNR_8pwM8Lp2M370NjNel6sgMxqQWvFKcPDytYYJrc/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,1,1,2,0,0,1,0,0,1,1,0,0,3,0,46,37,0,3,34,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,10,0,53,26,0,1,0,523,0,42,0,35,0,1,0,0,0,0,27,0,0,0,0,1,0,https://panel-activaccion--yomafak506.repl.co/,1
2,0,1,1,3,0,0,1,0,0,1,1,0,0,0,0,46,37,0,0,39,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,10,0,53,26,0,1,0,523,0,42,0,35,0,1,0,0,0,0,27,0,0,0,0,1,0,https://bienveninettflixx.jackycampaa.repl.co/,1
3,0,1,1,3,0,0,1,0,0,1,1,0,0,2,0,48,39,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bar-dac1.reconfirmation-zip.workers.dev/,1
4,0,1,1,3,0,0,1,0,0,1,1,0,0,1,0,27,18,0,0,19,0,1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,450,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://tw-fb.pages.dev.br/,1
5,0,1,1,2,0,0,1,0,0,1,1,0,0,2,0,46,37,0,5,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,226,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,https://implement-quick-protection69752.io.vn/,1
6,0,1,1,3,0,0,2,0,0,1,1,0,0,0,0,51,21,0,3,40,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,13,0,0,0,59,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://new.express.adobe.com/webpage/FqeCOQ7cum82d,1
7,0,1,1,2,0,0,5,0,0,1,1,0,0,1,0,66,14,0,0,55,10,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,4,0,0,6,11,14,10,1,1,0,595,1,15,14,110,0,1,0,0,0,1,3,1,0,0,0,7,0,https://dollarbull.com/wp-content/plugins/filester/views/loia.html,1
8,0,1,1,2,0,0,6,0,0,1,1,0,0,1,0,68,21,0,0,56,11,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,21,1,0,0,87,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,https://estreladamanha.com.br/wp-includes/Requests/Auth/web/clients/,1
9,0,1,1,2,0,0,1,0,0,1,1,0,0,0,0,38,29,0,8,24,0,1,1,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,9,4,6,3,1,0,0,361,0,7,2,58,0,0,1,0,0,1,16,1,0,0,0,4,0,https://98f818d64e5c.godaddysites.com/,1
